Plant,Material,Storage location,Key,MRP Controller,MRP Type,Material type,Material Group,Val. stock,Val. stock,ValStckVal,ValStckVal,CnsgtStock,CnsgtStock,Val.Stock in May 2025,Increase
"11F2 SHP Process Complex, UT OFFSHO",220095487 AFTERCOOLER,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220095487 AFTERCOOLER11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,3374869.43,INR,0,NO,"33,74,869.43",0
"11F2 SHP Process Complex, UT OFFSHO",220067856 IMPELLER,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO220067856 IMPELLER11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"33,72,537.31",3372537.31
"11F2 SHP Process Complex, UT OFFSHO",220095486 INTERCOOLER,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220095486 INTERCOOLER11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,3360244.54,INR,0,NO,"33,60,244.54",0
"11F2 SHP Process Complex, UT OFFSHO",220208239 VERTICAL SINGAL THRUST AND GUIDE BEARING,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220208239 VERTICAL SINGAL THRUST AND GUIDE BEARING11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,3349694,INR,0,NO,"33,49,694.00",0
"11F2 SHP Process Complex, UT OFFSHO",220051599 DIFFERENTIAL SAFETY VALVE COMPLETE WITH*,11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO220051599 DIFFERENTIAL SAFETY VALVE COMPLETE WITH*11F2FP01                       SHP-PEL-01",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,6,NO,3924127.29,INR,0,NO,"32,70,106.07",-654021.22
"11F2 SHP Process Complex, UT OFFSHO","140009711 TURBINE FLOW METER 10""300#",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO140009711 TURBINE FLOW METER 10""300#11F2FP25                       Maint.Spares-PEL",AAS AAS,ND No planning,ZSTO ONGC Stores,14        Misc. stores,2,NO,3246208,INR,0,NO,"32,46,208.00",0
"11F2 SHP Process Complex, UT OFFSHO",220006309 RTD,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220006309 RTD11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,42,NO,4445693.54,INR,0,NO,"31,75,495.39",-1270198.15
"11F2 SHP Process Complex, UT OFFSHO","220104227 BEARING HOUSING, N.D.E",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220104227 BEARING HOUSING, N.D.E11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,3148349.46,INR,0,NO,"31,48,349.46",0
"11F2 SHP Process Complex, UT OFFSHO",221358731 SEAL RING (INNER) WITH PIN,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221358731 SEAL RING (INNER) WITH PIN11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,9,NO,3079242.06,INR,0,NO,"30,79,242.06",0
"11F2 SHP Process Complex, UT OFFSHO",221358368 HONEYCOMB SEAL RING,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221358368 HONEYCOMB SEAL RING11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,3067721.7,INR,0,NO,"30,67,721.70",0
"11F2 SHP Process Complex, UT OFFSHO",270009066 VALVE UNLOADING 1 1/2 IN,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO270009066 VALVE UNLOADING 1 1/2 IN11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"30,19,791.59",3019791.59
"11F2 SHP Process Complex, UT OFFSHO",220026959 BEARING,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220026959 BEARING11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,2975648,INR,0,NO,"29,75,648.00",0
